did,all_exp
ID2075,RNAi-IV7A05 ;feeding-drop ;12h
ID2078,RNAi-IV7A05 ;feeding-drop ;12h
ID2079,RNAi-IV7A05 ;feeding-drop ;12h
ID2083,RNAi-IV7A05 ;feeding-drop ;12h
ID2085,RNAi-IV7A05 ;feeding-drop ;12h
ID2076,RNAi-IV7A05 ;feeding-drop ;12h
ID2334,mutant-tm3737
ID2335,mutant-tm3737
ID2336,mutant-tm3737
ID2337,mutant-tm3737
ID2338,mutant-tm3737
ID2339,mutant-tm3737
ID2341,mutant-tm3737
ID2343,mutant-tm3737
ID2342,mutant-tm3737
ID3464,mutant-tm3737
ID3465,mutant-tm3737
ID3466,mutant-tm3737
ID3467,mutant-tm3737
ID3468,mutant-tm3737
ID3469,mutant-tm3737
ID3470,mutant-tm3737
ID3473,mutant-tm3737
ID3474,mutant-tm3737
ID3475,mutant-tm3737
ID945,RNAi-X3C14 ;feeding-drop ;24h
ID946,RNAi-X3C14 ;feeding-drop ;24h
ID947,RNAi-X3C14 ;feeding-drop ;24h
ID950,RNAi-X3C14 ;feeding-drop ;24h
ID948,RNAi-X3C14 ;feeding-drop ;24h
ID949,RNAi-X3C14 ;feeding-drop ;24h
ID9101,RNAi-X-3C14 ;feeding-3mM ;24h
ID9102,RNAi-X-3C14 ;feeding-3mM ;24h
ID9103,RNAi-X-3C14 ;feeding-3mM ;24h
ID9104,RNAi-X-3C14 ;feeding-3mM ;24h
ID9105,RNAi-X-3C14 ;feeding-3mM ;24h
ID9106,RNAi-X-3C14 ;feeding-3mM ;24h
ID9107,RNAi-X-3C14 ;feeding-3mM ;24h
ID9390,RNAi-X-3C14 ;feeding-3mM ;24h
ID9392,RNAi-X-3C14 ;feeding-3mM ;24h
ID9393,RNAi-X-3C14 ;feeding-3mM ;24h
ID9394,RNAi-X-3C14 ;feeding-3mM ;24h
ID9572,RNAi ;feeding-3mM ;24h
ID9573,RNAi ;feeding-3mM ;24h
ID9574,RNAi ;feeding-3mM ;24h
ID9575,RNAi ;feeding-3mM ;24h
ID9576,RNAi ;feeding-3mM ;24h
ID9577,RNAi ;feeding-3mM ;24h
ID9578,RNAi ;feeding-3mM ;24h
ID5482,none[none]_ebp-2[mutant-gk756]
ID5483,none[none]_ebp-2[mutant-gk756]
ID5484,none[none]_ebp-2[mutant-gk756]
ID5485,none[none]_ebp-2[mutant-gk756]
ID5486,none[none]_ebp-2[mutant-gk756]
ID5488,none[none]_ebp-2[mutant-gk756]
ID5489,none[none]_ebp-2[mutant-gk756]
ID5490,none[none]_ebp-2[mutant-gk756]
ID7959,mutant-or207 ;;RNAi-III5C03 ;feeding-drop ;48h ;;RNAi-III5C03 ;feeding-drop ;48h
ID7960,mutant-or207 ;;RNAi-III5C03 ;feeding-drop ;48h ;;RNAi-III5C03 ;feeding-drop ;48h
ID7961,mutant-or207 ;;RNAi-III5C03 ;feeding-drop ;48h ;;RNAi-III5C03 ;feeding-drop ;48h
ID7962,mutant-or207 ;;RNAi-III5C03 ;feeding-drop ;48h ;;RNAi-III5C03 ;feeding-drop ;48h
ID7963,mutant-or207 ;;RNAi-III5C03 ;feeding-drop ;48h ;;RNAi-III5C03 ;feeding-drop ;48h
ID7964,mutant-or207 ;;RNAi-III5C03 ;feeding-drop ;48h ;;RNAi-III5C03 ;feeding-drop ;48h
