did,tempe
ID8607,18C
ID8608,18C
ID8609,18C
ID8610,18C
ID8611,18C
ID4043,20C
ID4037,20C
ID4036,20C
ID4034,20C
ID1813,18C
ID1814,18C
ID1815,18C
ID1816,18C
ID1817,18C
ID1818,18C
ID6701,18C
ID6703,18C
ID6704,18C
ID6707,18C
ID6708,18C
ID6709,18C
ID6710,18C
ID6711,18C
ID3788,18C
ID3789,18C
ID3790,18C
ID3791,18C
ID3792,18C
ID3916,18C
ID3917,18C
ID3918,18C
ID2612,18C
ID2613,18C
ID2614,18C
ID2616,18C
ID2617,18C
ID2618,18C
ID2619,18C
ID2615,18C
ID2620,18C
ID6001,18C
ID6002,18C
ID6003,18C
ID6004,18C
ID6006,18C
ID6007,18C
ID6008,18C
ID6009,18C
ID2051,18C
ID2087,18C
ID2088,18C
ID2090,18C
ID2091,18C
ID2092,18C
ID2089,18C
ID9892,18C
ID9893,18C
ID9894,18C
ID9895,18C
ID9896,18C
ID9897,18C
ID9898,18C
ID9899,18C
ID9900,18C
ID3352,18C
ID3354,18C
ID3415,18C
ID3416,18C
ID3417,18C
ID3418,18C
ID3178,18C
ID3179,18C
ID3180,18C
ID3181,18C
ID3182,18C
ID3183,18C
ID3184,18C
ID1021,18C
ID1022,18C
ID1025,18C
ID9989,18C
ID9991,18C
ID9992,18C
ID9993,18C
ID9994,18C
ID10010,18C
ID10011,18C
ID10012,18C
ID10013,18C
ID10014,18C
ID10015,18C
ID5351,23C
ID5352,23C
ID5354,23C
ID5355,23C
ID5356,23C
ID5357,23C
ID3002,18C
ID3003,18C
ID3004,18C
ID3005,18C
ID3006,18C
ID3008,18C
ID3016,18C
ID3185,18C
ID3186,18C
ID3187,18C
ID3188,18C
ID3191,18C
ID3190,18C
ID3192,18C
ID3193,18C
ID3194,18C
ID3195,18C
ID3201,18C
ID3202,18C
ID3203,18C
ID3204,18C
ID3205,18C
ID2611,18C
ID3009,18C
ID3010,18C
ID3011,18C
ID3012,18C
ID3013,18C
ID3015,18C
ID3168,18C
ID3169,18C
ID3170,18C
ID3171,18C
ID3172,18C
ID3173,18C
ID3174,18C
ID3175,18C
ID3176,18C
ID3177,18C
ID3197,18C
ID3198,18C
ID3199,18C
ID3200,18C
ID1959,18C
ID1960,18C
ID1961,18C
ID1962,18C
ID1963,18C
ID1964,18C
ID1966,18C
ID1965,18C
ID4272,18C
ID4273,18C
ID4274,18C
ID4269,18C
ID4270,18C
ID4276,18C
ID4277,18C
ID11429,23C
ID11430,23C
ID11431,23C
ID11432,23C
ID11433,23C
ID11434,23C
ID11435,23C
ID11436,23C
ID11437,23C
ID11438,23C
ID11439,23C
ID11440,23C
ID6788,23C
ID6789,23C
ID6791,23C
ID6792,23C
ID6793,23C
ID6796,23C
ID6797,23C
ID2471,18C
ID2472,18C
ID2474,18C
ID2475,18C
ID2476,18C
ID2477,18C
ID2478,18C
ID2479,18C
ID2480,18C
ID2481,18C
ID2482,18C
ID7110,23C
ID7111,23C
ID7112,23C
ID7113,23C
ID7114,23C
ID7115,23C
ID7116,23C
ID7117,23C
ID7118,23C
ID7079,18C
ID7080,18C
ID7081,18C
ID7082,18C
ID7083,18C
ID7084,18C
ID7085,18C
ID7086,18C
ID7087,18C
ID7088,18C
ID7089,18C
ID7277,18C
ID7278,18C
ID7279,18C
ID7280,18C
ID7281,18C
ID7282,18C
ID7283,18C
ID7284,18C
ID7285,18C
ID7276,18C
ID8101,15C
ID8102,15C
ID8103,15C
ID8104,15C
ID8105,15C
ID8106,15C
ID2558,18C
ID2559,18C
ID2560,18C
ID2561,18C
ID2562,18C
ID2563,18C
ID2564,18C
ID2565,18C
ID12464,23C
ID12466,23C
ID12467,23C
ID12468,23C
ID12469,23C
ID12470,23C
ID12471,23C
ID12482,23C
ID12483,23C
ID12484,23C
ID12485,23C
ID12487,23C
ID12488,23C
ID12490,23C
ID12491,23C
ID12080,23C
ID12084,23C
ID12085,23C
ID12110,23C
ID12112,23C
ID12113,23C
ID12114,23C
ID4115,18C
ID4116,18C
ID4117,18C
ID4118,18C
ID4119,18C
ID4120,18C
ID4121,18C
ID3401,18C
ID3402,18C
ID3403,18C
ID3404,18C
ID3406,18C
ID3407,18C
ID3408,18C
ID3409,18C
ID3410,18C
ID3411,18C
ID3412,18C
ID3413,18C
ID1845,18C
ID1846,18C
ID1847,18C
ID1848,18C
ID1850,18C
ID1851,18C
ID1558,18C
ID1559,18C
ID1560,18C
ID1557,18C
ID3760,18C
ID3761,18C
ID3762,18C
ID3763,18C
ID3764,18C
ID3765,18C
ID4122,18C
ID4123,18C
ID4124,18C
ID4125,18C
ID4126,18C
ID4127,18C
ID4128,18C
ID4129,18C
ID4169,18C
ID4170,18C
ID1835,18C
ID1836,18C
ID1837,18C
ID1838,18C
ID1839,18C
ID1840,18C
ID1841,18C
ID1842,18C
ID1269,18C
ID1270,18C
ID1271,18C
ID1275,18C
ID1278,18C
ID8315,18C
ID8316,18C
ID8317,18C
ID8318,18C
ID8321,18C
ID8324,18C
ID8347,18C
ID8348,18C
ID8349,18C
ID8350,18C
ID8351,18C
ID2024,18C
ID2025,18C
ID2026,18C
ID2028,18C
ID2029,18C
ID2030,18C
ID2031,18C
ID2032,18C
ID2033,18C
ID2034,18C
ID2035,18C
ID2036,18C
ID2027,18C
ID1843,18C
ID1844,18C
ID1357,18C
ID1351,18C
ID1352,18C
ID1353,18C
ID1355,18C
ID1356,18C
ID1014,18C
ID1015,18C
ID936,18C
ID1016,18C
ID1017,18C
ID1018,18C
ID3420,18C
ID3422,18C
ID3426,18C
ID2553,18C
ID2554,18C
ID2555,18C
ID2556,18C
ID2557,18C
ID7055,18C
ID7056,18C
ID7057,18C
ID7058,18C
ID7059,18C
ID7060,18C
ID7061,18C
ID7062,18C
